place,info,태그
부평역북광장,사람들이 오가는 중심지,관광지 대아지하상가 부평역 부평역광장 부평지하상가 부평축제 인천1호선
경주 구정동 방형분,신라 무덤 중 유일한 네모무덤,관광지 역사 역사공부 역사관광지 역사를품은곳 역사문화재 역사속      
달맞이광장,정월대보름 행사가 열리는 광장,관광지 여주 여주가볼만한곳 여주차박 여주축제 정월대보름 정월대보름축제  
경주 진평왕릉,선덕여왕의 아버지인 제26대 진평왕의 능,경주나들이 경주여행 관광지 아름다운왕릉 진평왕릉 진평왕릉숲 피크닉하기좋은곳
법성포,조상들의 얼과 전통을 고스란히 간직한 법성포,경치좋은곳 관광지 바다경치 영광가볼만한곳 자연 자연풍경 전라권  
경주 황룡사지,신라 호국불교의 상징 황룡사의 터,경주여행 관광지 신라유적지 신라호국불교 신라황룡사 역사 역사공부            
고창 청농원,드넓은 핑크뮬리정원과 가을꽃을 만나보세요!,SNS감성사진 감성사진 관광지 사진찍기 사진찍기좋은곳 사진촬영         
이포보,아름다운 경치를 자랑하는 여주 시민들의 힐링공간,가볼래터 관광지 라이딩 라이딩명소 산책로 산책로캠핑장 야경 야경이예쁜            
수원시립미술관,화성[華城]의 숨결과 현대미술이 어우러지는 공존의 예술공간,문화시설 문화예술공간 미술관 복합문화공간 수도권 수원시립미술관          
득량역 추억의 거리,그때 그 시절의 추억을 그대로 재현한 거리,감성사진 관광지 데이트장소추천 보성가볼만한곳 부모님과함께 사진찍기좋은곳    
여주도자세상,국내 최대 규모의 도자기 전문 쇼핑몰과 공예체험,가족여행 가족체험여행 공예체험 공예품 관광지 교과서속여행 당일치기여행             
경주 문무대왕릉,삼국통일을 이룩한 문무대왕의 수중릉,2024_여행가는달과함께하는_발도장여행지 감은사 경북권반려동물여행지                    
톱머리 해수욕장,넓은 백사장과 해송 숲이 아름다운 해수욕장,가족여행 경치좋은곳 관광지 낙조 바다낚시 바다풍경 아이와함께         
